iter	Logloss	Accuracy
692	0.2088965053	0.9097789374
693	0.2088574801	0.9097253248
694	0.2088053659	0.9097163894
695	0.2087715034	0.9097521311
696	0.2087307445	0.9097253248
697	0.2086836019	0.9097610665
698	0.2086493342	0.9098504209
699	0.2086097412	0.9098414854
700	0.20857924	0.90983255
701	0.208537974	0.9099219043
702	0.2084782842	0.9099933878
703	0.2084412582	0.9099665815
704	0.2084122626	0.9100023232
705	0.2083724446	0.9099844523
706	0.2083344699	0.9101095484
707	0.208283209	0.9100827421
708	0.2082461515	0.9100827421
709	0.2081897194	0.9101542256
710	0.2081451109	0.910100613
711	0.208122964	0.9100470004
712	0.2080943429	0.9100827421
713	0.2080551758	0.9100916775
714	0.2080358702	0.9100648712
715	0.2080034732	0.9101095484
716	0.207950999	0.9101720964
717	0.2079249874	0.9101989027
718	0.2078872544	0.9101720964
719	0.2078522375	0.910225709
720	0.2078215408	0.9103061279
721	0.2077838358	0.9103418696
722	0.2077678029	0.9103954822
723	0.2077460576	0.9103508051
724	0.2077028743	0.9103150634
725	0.2076595854	0.9103239988
726	0.2076320389	0.9103061279
727	0.2075809485	0.9103954822
728	0.2075302938	0.9103865468
729	0.2075005202	0.910431224
730	0.2074630446	0.9104669657
731	0.2074324926	0.9104401594
732	0.207414685	0.9104133531
733	0.2073947678	0.9104133531
734	0.207353157	0.910493772
735	0.2073159712	0.9105384492
736	0.2072835601	0.9106009972
737	0.2072531009	0.9106188681
738	0.2072308878	0.9106188681
739	0.207182656	0.9106099326
740	0.2071589828	0.9105831263
741	0.207132998	0.9105831263
742	0.2071066048	0.9106278035
743	0.2070796506	0.9107171578
744	0.2070655047	0.910761835
745	0.2070177756	0.9107171578
746	0.2069958307	0.9107439641
747	0.2069459245	0.9107528995
748	0.2069232171	0.9107707704
749	0.2069001186	0.9107975767
750	0.2068696498	0.9108065121
751	0.2068171141	0.9108065121
752	0.206803452	0.9107886413
753	0.2067662678	0.910824383
754	0.2067341174	0.9109048019
755	0.2067032513	0.9109226728
756	0.2066797464	0.9109137373
757	0.2066492766	0.9109673499
758	0.206614847	0.9109584145
759	0.2065715128	0.911029898
760	0.2065195687	0.9110567043
761	0.2064711868	0.9110388334
762	0.2064359402	0.9110656397
763	0.206402312	0.9111013814
764	0.206368195	0.9111818003
765	0.2063261124	0.911154994
766	0.2062969072	0.9111281877
767	0.2062668734	0.9110835106
768	0.2062417665	0.9111907357
769	0.2062033023	0.9112264775
770	0.2061857423	0.911217542
771	0.2061679126	0.9112711546
772	0.2061367973	0.9112264775
773	0.2060951837	0.911217542
774	0.2060557838	0.9112622192
775	0.2060096593	0.9113337027
776	0.2059838369	0.9113337027
777	0.2059565537	0.9113783798
778	0.2058952933	0.911423057
779	0.2058665768	0.9114409279
780	0.2058200658	0.9114498633
781	0.2057807921	0.9113873153
782	0.20574319	0.9114409279
783	0.2057011774	0.9114766696
784	0.2056548908	0.9114945405
785	0.2056102477	0.9114945405
786	0.2055625164	0.9114319924
787	0.205522671	0.9114766696
788	0.2054914352	0.9114766696
789	0.2054582527	0.911485605
