iter	Passed	Remaining
965	13940	490
966	13953	476
967	13967	461
968	13979	447
969	13992	432
970	14005	418
971	14118	406
972	14160	392
973	14175	378
974	14188	363
975	14200	349
976	14212	334
977	14225	319
978	14237	305
979	14249	290
980	14261	276
981	14274	261
982	14288	247
983	14306	232
984	14320	218
985	14335	203
986	14347	188
987	14359	174
988	14372	159
989	14385	145
990	14398	130
991	14413	116
992	14425	101
993	14437	87
994	14451	72
995	14463	58
996	14475	43
997	14488	29
998	14501	14
999	14514	0
